Type,U_id,ID_Image,Img_Large,URL_Article_image
TAC,MPX1009,MPX1009_synpic46283,https://openi.nlm.nih.gov//imgs/512/207/1009/MPX1009_synpic46283.png,https://medpix.nlm.nih.gov/case?id=e7532712-bcf8-490b-b9c5-fd86522ecb3b
TAC,MPX1009,MPX1009_synpic46296,https://openi.nlm.nih.gov//imgs/512/207/1009/MPX1009_synpic46296.png,https://medpix.nlm.nih.gov/case?id=24703ffe-d69a-4d9c-ac71-39ffab2c1749
TAC,MPX1024,MPX1024_synpic40274,https://openi.nlm.nih.gov//imgs/512/222/1024/MPX1024_synpic40274.png,https://medpix.nlm.nih.gov/case?id=ea2ceb2b-ee96-4e5a-9380-3244dc167e4d
TAC,MPX1024,MPX1024_synpic40275,https://openi.nlm.nih.gov//imgs/512/222/1024/MPX1024_synpic40275.png,https://medpix.nlm.nih.gov/case?id=6d17de11-1afc-4994-b805-fb1e7ba2a7ce
TAC,MPX1024,MPX1024_synpic40276,https://openi.nlm.nih.gov//imgs/512/222/1024/MPX1024_synpic40276.png,https://medpix.nlm.nih.gov/case?id=b2b82d5c-1072-42f1-8bfa-791b40428a3c
TAC,MPX1024,MPX1024_synpic40277,https://openi.nlm.nih.gov//imgs/512/222/1024/MPX1024_synpic40277.png,https://medpix.nlm.nih.gov/case?id=61a3e68e-80f5-4b1a-8d31-e2e485628f0f
TAC,MPX1012,MPX1012_synpic22948,https://openi.nlm.nih.gov//imgs/512/210/1012/MPX1012_synpic22948.png,https://medpix.nlm.nih.gov/case?id=ff890b9d-a123-4208-928a-5db0faabb7dc
TAC,MPX1012,MPX1012_synpic22949,https://openi.nlm.nih.gov//imgs/512/210/1012/MPX1012_synpic22949.png,https://medpix.nlm.nih.gov/case?id=f5c84f31-70ac-4526-bea7-f026dfa318cc
TAC,MPX1012,MPX1012_synpic22950,https://openi.nlm.nih.gov//imgs/512/210/1012/MPX1012_synpic22950.png,https://medpix.nlm.nih.gov/case?id=3593cab7-641f-43e1-8ab9-0eb7f0a76209
TAC,MPX1012,MPX1012_synpic22951,https://openi.nlm.nih.gov//imgs/512/210/1012/MPX1012_synpic22951.png,https://medpix.nlm.nih.gov/case?id=c109115b-802c-416f-898c-4aab3d5a5358
TAC,MPX1016,MPX1016_synpic34317,https://openi.nlm.nih.gov//imgs/512/214/1016/MPX1016_synpic34317.png,https://medpix.nlm.nih.gov/case?id=9a7bc3ac-b4e8-4d4a-b7ca-3290fa7f7b2a
TAC,MPX1016,MPX1016_synpic34318,https://openi.nlm.nih.gov//imgs/512/214/1016/MPX1016_synpic34318.png,https://medpix.nlm.nih.gov/case?id=d3eba1d9-c4e8-43d8-812a-e64a296a25c1
TAC,MPX1016,MPX1016_synpic34319,https://openi.nlm.nih.gov//imgs/512/214/1016/MPX1016_synpic34319.png,https://medpix.nlm.nih.gov/case?id=d6cb916c-a3ff-41b8-b1f7-897ae5cf3c55
TAC,MPX1035,MPX1035_synpic21868,https://openi.nlm.nih.gov//imgs/512/233/1035/MPX1035_synpic21868.png,https://medpix.nlm.nih.gov/case?id=4f776d1b-f0d4-4070-b27d-07f0ac5c3c4d
TAC,MPX1031,MPX1031_synpic20040,https://openi.nlm.nih.gov//imgs/512/229/1031/MPX1031_synpic20040.png,https://medpix.nlm.nih.gov/case?id=2d071266-6d97-4e9b-9442-8cae55c767c6
TAC,MPX1034,MPX1034_synpic39422,https://openi.nlm.nih.gov//imgs/512/232/1034/MPX1034_synpic39422.png,https://medpix.nlm.nih.gov/case?id=1f960a0e-c856-4c0b-87d8-24ace66b51eb
TAC,MPX1034,MPX1034_synpic39537,https://openi.nlm.nih.gov//imgs/512/232/1034/MPX1034_synpic39537.png,https://medpix.nlm.nih.gov/case?id=7d9b249f-64bb-42ef-96aa-49838979a6e6
TAC,MPX1034,MPX1034_synpic39538,https://openi.nlm.nih.gov//imgs/512/232/1034/MPX1034_synpic39538.png,https://medpix.nlm.nih.gov/case?id=686797af-6374-4f5b-88a3-f09964544b18
TAC,MPX1034,MPX1034_synpic39539,https://openi.nlm.nih.gov//imgs/512/232/1034/MPX1034_synpic39539.png,https://medpix.nlm.nih.gov/case?id=130397dc-c61e-4022-9c2d-6ed17cf690f9
TAC,MPX1038,MPX1038_synpic20727,https://openi.nlm.nih.gov//imgs/512/236/1038/MPX1038_synpic20727.png,https://medpix.nlm.nih.gov/case?id=c45c2367-22aa-4a1d-87eb-b711bab6e192
TAC,MPX1038,MPX1038_synpic20728,https://openi.nlm.nih.gov//imgs/512/236/1038/MPX1038_synpic20728.png,https://medpix.nlm.nih.gov/case?id=8c513c61-be9c-4acd-b56a-71526eb87d66
TAC,MPX1038,MPX1038_synpic20730,https://openi.nlm.nih.gov//imgs/512/236/1038/MPX1038_synpic20730.png,https://medpix.nlm.nih.gov/case?id=d3737a35-a257-4a9a-8aed-affd196e9d9d
TAC,MPX1038,MPX1038_synpic20731,https://openi.nlm.nih.gov//imgs/512/236/1038/MPX1038_synpic20731.png,https://medpix.nlm.nih.gov/case?id=32b65862-2897-4c80-844e-4be3cf4b2d39
TAC,MPX1038,MPX1038_synpic20732,https://openi.nlm.nih.gov//imgs/512/236/1038/MPX1038_synpic20732.png,https://medpix.nlm.nih.gov/case?id=f66d5c54-8d65-4477-af23-2cdb2e52c740
TAC,MPX1038,MPX1038_synpic20733,https://openi.nlm.nih.gov//imgs/512/236/1038/MPX1038_synpic20733.png,https://medpix.nlm.nih.gov/case?id=13439f88-786b-468a-bc23-cc5e42ef035c
TAC,MPX1045,MPX1045_synpic46885,https://openi.nlm.nih.gov//imgs/512/243/1045/MPX1045_synpic46885.png,https://medpix.nlm.nih.gov/case?id=af1a1eab-bf06-42dc-b047-078caebbcc1c
TAC,MPX1045,MPX1045_synpic46888,https://openi.nlm.nih.gov//imgs/512/243/1045/MPX1045_synpic46888.png,https://medpix.nlm.nih.gov/case?id=edf035c9-9315-46a2-9350-8cedaece0f3d
TAC,MPX1056,MPX1056_synpic41083,https://openi.nlm.nih.gov//imgs/512/254/1056/MPX1056_synpic41083.png,https://medpix.nlm.nih.gov/case?id=b3783dde-607d-46ab-89b1-7df6057eacf4
TAC,MPX1056,MPX1056_synpic41085,https://openi.nlm.nih.gov//imgs/512/254/1056/MPX1056_synpic41085.png,https://medpix.nlm.nih.gov/case?id=7a4d72bd-aef8-44f9-a704-07486c17c284
TAC,MPX1033,MPX1033_synpic45450,https://openi.nlm.nih.gov//imgs/512/231/1033/MPX1033_synpic45450.png,https://medpix.nlm.nih.gov/case?id=f7139af9-2166-4907-92b2-6c671ac02108
TAC,MPX1033,MPX1033_synpic45452,https://openi.nlm.nih.gov//imgs/512/231/1033/MPX1033_synpic45452.png,https://medpix.nlm.nih.gov/case?id=a564a3b5-bb14-44f0-bcf7-b262592a9191
